"","to_rm","rowID"
"1","rowID",1
"2","id",2
"3","protected",3
"4","utc_offset",4
"5","time_zone",5
"6","is_translator",6
"7","is_translation_enabled",7
"8","profile_background_color",8
"9","profile_background_image_url",9
"10","profile_background_image_url_https",10
"11","profile_background_tile",11
"12","profile_image_url",12
"13","profile_image_extensions_sensitive_media_warning",13
"14","profile_image_extensions_media_availability",14
"15","profile_image_extensions_alt_text",15
"16","profile_image_extensions_media_color",16
"17","profile_image_extensions",17
"18","profile_link_color",18
"19","profile_sidebar_border_color",19
"20","profile_sidebar_fill_color",20
"21","profile_text_color",21
"22","profile_use_background_image",22
"23","has_extended_profile",23
"24","pinned_tweet_ids",24
"25","followed_by",25
"26","ext_has_nft_avatar",26
"27","ext",27
"28","profile_banner_url",28
"29","profile_banner_extensions_sensitive_media_warning",29
"30","profile_banner_extensions_media_availability",30
"31","profile_banner_extensions_alt_text",31
"32","profile_banner_extensions_media_color",32
"33","profile_banner_extensions",33
"34","formatted_date",34
